id,label
1,Cat
2,Dog
3,Dog
4,Cat
5,Cat
6,Cat
7,Dog
8,Dog
9,Dog
10,Dog
11,Dog
12,Dog
13,Cat
14,Cat
15,Dog
16,Dog
17,Dog
18,Cat
19,Cat
20,Cat
21,Dog
22,Cat
23,Dog
24,Dog
25,Dog
26,Dog
27,Dog
28,Cat
29,Dog
30,Dog
31,Cat
32,Cat
33,Cat
34,Dog
35,Cat
36,Cat
37,Cat
38,Dog
39,Cat
40,Dog
41,Dog
42,Dog
43,Dog
44,Cat
45,Dog
46,Dog
47,Cat
48,Dog
49,Cat
50,Cat
51,Cat
52,Cat
53,Cat
54,Dog
55,Cat
56,Dog
57,Cat
58,Dog
59,Dog
60,Dog
61,Dog
62,Cat
63,Dog
64,Cat
65,Cat
66,Dog
67,Cat
68,Cat
69,Dog
70,Cat
71,Dog
72,Cat
73,Dog
74,Cat
75,Dog
76,Cat
77,Dog
78,Cat
79,Dog
80,Dog
81,Dog
82,Cat
83,Cat
84,Cat
85,Cat
86,Cat
87,Cat
88,Cat
89,Cat
90,Cat
91,Cat
92,Dog
93,Cat
94,Cat
95,Cat
96,Dog
97,Cat
98,Dog
99,Dog
100,Cat
101,Dog
102,Cat
103,Dog
104,Cat
105,Dog
106,Dog
107,Cat
108,Cat
109,Cat
110,Dog
111,Dog
112,Cat
113,Dog
114,Dog
115,Cat
116,Cat
117,Cat
118,Dog
119,Cat
120,Cat
121,Cat
122,Dog
123,Cat
124,Dog
125,Dog
126,Dog
127,Cat
128,Dog
129,Dog
130,Dog
131,Cat
132,Cat
133,Dog
134,Cat
135,Cat
136,Cat
137,Dog
138,Cat
139,Dog
140,Cat
141,Cat
142,Cat
143,Cat
144,Dog
145,Cat
146,Dog
147,Dog
148,Dog
149,Dog
150,Dog
151,Cat
152,Dog
153,Cat
154,Dog
155,Dog
156,Cat
157,Cat
158,Dog
159,Cat
160,Dog
161,Dog
162,Cat
163,Cat
164,Dog
165,Cat
166,Cat
167,Dog
168,Dog
169,Cat
170,Dog
171,Dog
172,Cat
173,Cat
174,Cat
175,Dog
176,Dog
177,Cat
178,Dog
179,Dog
180,Dog
181,Dog
182,Dog
183,Cat
184,Cat
185,Dog
186,Cat
187,Cat
188,Cat
189,Dog
190,Cat
191,Cat
192,Dog
193,Cat
194,Cat
195,Cat
196,Cat
197,Cat
198,Cat
199,Cat
200,Cat
201,Dog
202,Dog
203,Cat
204,Cat
205,Dog
206,Dog
207,Dog
208,Dog
209,Dog
210,Dog
211,Dog
212,Dog
213,Dog
214,Cat
215,Cat
216,Dog
217,Dog
218,Dog
219,Cat
220,Cat
221,Dog
222,Dog
223,Dog
224,Cat
225,Cat
226,Cat
227,Cat
228,Dog
229,Cat
230,Cat
231,Cat
232,Cat
233,Cat
234,Dog
235,Dog
236,Dog
237,Cat
238,Cat
239,Dog
240,Dog
241,Dog
242,Dog
243,Cat
244,Cat
245,Dog
246,Dog
247,Dog
248,Dog
249,Cat
250,Cat
251,Dog
252,Cat
253,Dog
254,Cat
255,Dog
256,Cat
257,Cat
258,Cat
259,Dog
260,Dog
261,Cat
262,Dog
263,Cat
264,Cat
265,Cat
266,Dog
267,Dog
268,Cat
269,Cat
270,Dog
271,Dog
272,Cat
273,Dog
274,Cat
275,Cat
276,Dog
277,Cat
278,Dog
279,Dog
280,Cat
281,Dog
282,Dog
283,Cat
284,Dog
285,Cat
286,Dog
287,Cat
288,Dog
289,Cat
290,Cat
291,Dog
292,Dog
293,Dog
294,Dog
295,Dog
296,Cat
297,Dog
298,Cat
299,Cat
300,Cat
301,Cat
302,Cat
303,Cat
304,Dog
305,Cat
306,Dog
307,Cat
308,Dog
309,Cat
310,Cat
311,Cat
312,Cat
313,Dog
314,Dog
315,Dog
316,Cat
317,Cat
318,Cat
319,Dog
320,Dog
321,Dog
322,Dog
323,Dog
324,Dog
325,Cat
326,Cat
327,Cat
328,Dog
329,Cat
330,Dog
331,Cat
332,Dog
333,Cat
334,Dog
335,Cat
336,Cat
337,Dog
338,Cat
339,Dog
340,Cat
341,Dog
342,Cat
343,Cat
344,Dog
345,Cat
346,Dog
347,Cat
348,Dog
349,Dog
350,Dog
351,Cat
352,Dog
353,Dog
354,Cat
355,Dog
356,Dog
357,Cat
358,Dog
359,Dog
360,Cat
361,Cat
362,Cat
363,Dog
364,Cat
365,Cat
366,Dog
367,Cat
368,Dog
369,Dog
370,Cat
371,Dog
372,Cat
373,Cat
374,Dog
375,Dog
376,Dog
377,Dog
378,Dog
379,Dog
380,Dog
381,Dog
382,Cat
383,Cat
384,Dog
385,Cat
386,Cat
387,Cat
388,Cat
389,Cat
390,Dog
391,Dog
392,Cat
393,Dog
394,Cat
395,Dog
396,Cat
397,Cat
398,Cat
399,Cat
400,Dog
401,Cat
402,Cat
403,Cat
404,Dog
405,Dog
406,Cat
407,Cat
408,Cat
409,Dog
410,Cat
411,Dog
412,Dog
413,Dog
414,Cat
415,Cat
416,Dog
417,Cat
418,Cat
419,Cat
420,Dog
421,Cat
422,Dog
423,Cat
424,Cat
425,Cat
426,Cat
427,Cat
428,Cat
429,Dog
430,Cat
431,Dog
432,Cat
433,Cat
434,Cat
435,Dog
436,Dog
437,Cat
438,Cat
439,Dog
440,Cat
441,Cat
442,Dog
443,Dog
444,Dog
445,Cat
446,Dog
447,Dog
448,Dog
449,Cat
450,Dog
451,Cat
452,Cat
453,Dog
454,Cat
455,Dog
456,Cat
457,Dog
458,Cat
459,Cat
460,Cat
461,Cat
462,Cat
463,Dog
464,Dog
465,Dog
466,Cat
467,Dog
468,Dog
469,Dog
470,Cat
471,Dog
472,Cat
473,Cat
474,Cat
475,Dog
476,Cat
477,Cat
478,Dog
479,Dog
480,Cat
481,Cat
482,Dog
483,Dog
484,Cat
485,Dog
486,Cat
487,Cat
488,Cat
489,Cat
490,Cat
491,Cat
